
time,ax,ay,az,wx,wy,wz,
0.011,0.14,-0.17,-0.13,-0.23,-0.18,-0.13,
0.012,0.14,-0.17,-0.13,-0.23,-0.17,-0.14,
0.013,0.14,-0.17,-0.13,-0.23,-0.17,-0.14,
0.014,0.14,-0.17,-0.13,-0.24,-0.17,-0.14,
0.015,0.28,-0.14,0.04,-0.24,-0.17,-0.14,
0.016,0.28,-0.14,0.04,-0.24,-0.16,-0.14,
0.017,0.28,-0.14,0.04,-0.24,-0.15,-0.14,
0.018,0.28,-0.14,0.04,-0.24,-0.14,-0.15,
0.019,0.28,-0.14,0.04,-0.24,-0.13,-0.15,
0.02,0.28,-0.14,0.04,-0.24,-0.12,-0.15,
0.02,0.27,-0.08,0.15,-0.24,-0.12,-0.15,
0.02,0.27,-0.08,0.15,-0.24,-0.12,-0.15,
0.021,0.27,-0.08,0.15,-0.24,-0.11,-0.16,
0.021,0.27,-0.08,0.15,-0.23,-0.11,-0.16,
0.021,0.27,-0.08,0.15,-0.23,-0.11,-0.16,
0.022,0.27,-0.08,0.15,-0.22,-0.11,-0.16,
0.022,0.19,-0.05,0.21,-0.22,-0.11,-0.16,
0.022,0.19,-0.05,0.21,-0.22,-0.11,-0.16,
0.023,0.19,-0.05,0.21,-0.21,-0.11,-0.17,
0.023,0.19,-0.05,0.21,-0.20,-0.12,-0.17,
0.024,0.19,-0.05,0.21,-0.19,-0.12,-0.18,
0.024,0.19,-0.05,0.21,-0.19,-0.13,-0.18,
0.03,0.16,-0.05,0.20,-0.19,-0.13,-0.18,
0.031,0.16,-0.05,0.20,-0.18,-0.14,-0.18,
0.031,0.16,-0.05,0.20,-0.18,-0.15,-0.18,
0.032,0.16,-0.05,0.20,-0.18,-0.15,-0.19,
0.032,0.16,-0.05,0.20,-0.17,-0.16,-0.19,
0.032,0.16,-0.05,0.20,-0.17,-0.16,-0.19,
0.036,0.07,-0.04,0.12,-0.17,-0.16,-0.19,
0.037,0.07,-0.04,0.12,-0.17,-0.17,-0.19,
0.038,0.07,-0.04,0.12,-0.17,-0.17,-0.20,
0.042,0.07,-0.04,0.12,-0.17,-0.18,-0.20,
0.042,0.07,-0.04,0.12,-0.17,-0.18,-0.20,
0.043,0.07,-0.04,0.12,-0.17,-0.19,-0.20,
0.047,0.04,-0.01,0.09,-0.17,-0.19,-0.20,
0.047,0.04,-0.01,0.09,-0.17,-0.20,-0.20,
0.048,0.04,-0.01,0.09,-0.17,-0.21,-0.21,
0.05,0.04,-0.01,0.09,-0.17,-0.22,-0.21,
0.051,0.04,-0.01,0.09,-0.17,-0.22,-0.21,
0.052,0.04,-0.01,0.09,-0.17,-0.24,-0.21,
0.055,0.02,0.04,0.12,-0.17,-0.24,-0.21,
0.055,0.02,0.04,0.12,-0.17,-0.25,-0.21,
0.084,0.02,0.04,0.12,-0.17,-0.26,-0.21,
0.085,0.02,0.04,0.12,-0.16,-0.27,-0.21,
0.085,0.02,0.04,0.12,-0.16,-0.28,-0.21,
0.085,0.02,0.04,0.12,-0.16,-0.30,-0.21,
0.085,0.00,0.05,0.09,-0.16,-0.30,-0.21,
0.086,0.00,0.05,0.09,-0.16,-0.31,-0.21,
0.086,0.00,0.05,0.09,-0.16,-0.33,-0.21,
0.086,0.00,0.05,0.09,-0.16,-0.34,-0.21,
0.086,0.00,0.05,0.09,-0.17,-0.34,-0.21,
0.086,0.00,0.05,0.09,-0.18,-0.35,-0.21,
0.088,-0.21,-0.10,0.01,-0.18,-0.35,-0.21,
0.088,-0.21,-0.10,0.01,-0.18,-0.36,-0.21,
0.088,-0.21,-0.10,0.01,-0.19,-0.38,-0.21,
0.088,-0.21,-0.10,0.01,-0.19,-0.39,-0.21,
0.088,-0.21,-0.10,0.01,-0.20,-0.39,-0.21,
0.089,-0.21,-0.10,0.01,-0.20,-0.39,-0.22,
0.089,-0.07,-0.14,-0.07,-0.20,-0.39,-0.22,
0.089,-0.07,-0.14,-0.07,-0.21,-0.39,-0.22,
0.089,-0.07,-0.14,-0.07,-0.22,-0.39,-0.23,
0.089,-0.07,-0.14,-0.07,-0.22,-0.39,-0.23,
0.101,-0.07,-0.14,-0.07,-0.23,-0.40,-0.23,
0.102,-0.07,-0.14,-0.07,-0.24,-0.40,-0.23,
0.102,0.03,-0.11,-0.06,-0.24,-0.40,-0.23,
0.102,0.03,-0.11,-0.06,-0.25,-0.40,-0.23,
0.111,0.03,-0.11,-0.06,-0.25,-0.40,-0.23,
0.111,0.03,-0.11,-0.06,-0.26,-0.40,-0.23,
0.112,0.03,-0.11,-0.06,-0.27,-0.38,-0.23,
0.112,0.03,-0.11,-0.06,-0.28,-0.37,-0.22,
0.112,0.03,-0.18,-0.11,-0.28,-0.37,-0.22,
0.112,0.03,-0.18,-0.11,-0.29,-0.35,-0.22,
0.112,0.03,-0.18,-0.11,-0.29,-0.34,-0.22,
0.113,0.03,-0.18,-0.11,-0.30,-0.32,-0.22,
0.113,0.03,-0.18,-0.11,-0.31,-0.31,-0.22,
0.113,0.03,-0.18,-0.11,-0.31,-0.30,-0.22,
0.116,0.11,-0.26,-0.06,-0.31,-0.30,-0.22,
0.116,0.11,-0.26,-0.06,-0.31,-0.28,-0.22,
0.116,0.11,-0.26,-0.06,-0.32,-0.27,-0.22,
0.118,0.11,-0.26,-0.06,-0.32,-0.25,-0.22,
0.12,0.11,-0.26,-0.06,-0.33,-0.24,-0.22,
0.122,0.11,-0.26,-0.06,-0.33,-0.23,-0.23,
0.127,0.17,-0.29,0.02,-0.33,-0.23,-0.23,
0.127,0.17,-0.29,0.02,-0.33,-0.21,-0.23,
0.127,0.17,-0.29,0.02,-0.33,-0.20,-0.23,
0.128,0.17,-0.29,0.02,-0.33,-0.18,-0.24,
0.13,0.17,-0.29,0.02,-0.33,-0.17,-0.24,
0.132,0.17,-0.29,0.02,-0.33,-0.16,-0.24,
0.134,0.10,-0.19,0.10,-0.33,-0.16,-0.24,
0.135,0.10,-0.19,0.10,-0.33,-0.15,-0.24,
0.16,0.10,-0.19,0.10,-0.32,-0.15,-0.25,
0.16,0.10,-0.19,0.10,-0.32,-0.15,-0.25,
0.16,0.10,-0.19,0.10,-0.32,-0.15,-0.25,
0.161,0.10,-0.19,0.10,-0.31,-0.15,-0.25,
0.161,-0.09,-0.14,0.15,-0.31,-0.15,-0.25,
0.161,-0.09,-0.14,0.15,-0.31,-0.16,-0.25,
0.161,-0.09,-0.14,0.15,-0.30,-0.16,-0.25,
0.161,-0.09,-0.14,0.15,-0.30,-0.16,-0.24,
0.161,-0.09,-0.14,0.15,-0.30,-0.16,-0.24,
0.162,-0.09,-0.14,0.15,-0.29,-0.16,-0.24,
0.162,-0.16,-0.09,0.21,-0.29,-0.16,-0.24,
0.162,-0.16,-0.09,0.21,-0.28,-0.17,-0.24,
0.162,-0.16,-0.09,0.21,-0.27,-0.17,-0.24,
0.162,-0.16,-0.09,0.21,-0.27,-0.17,-0.24,
0.163,-0.16,-0.09,0.21,-0.26,-0.17,-0.24,
0.163,-0.16,-0.09,0.21,-0.25,-0.18,-0.24,
0.187,-0.08,0.04,0.12,-0.25,-0.18,-0.24,
0.188,-0.08,0.04,0.12,-0.24,-0.18,-0.24,
0.188,-0.08,0.04,0.12,-0.24,-0.19,-0.24,
0.188,-0.08,0.04,0.12,-0.23,-0.20,-0.23,
0.189,-0.08,0.04,0.12,-0.22,-0.21,-0.23,
0.189,-0.08,0.04,0.12,-0.22,-0.22,-0.22,
0.189,-0.19,0.08,-0.04,-0.22,-0.22,-0.22,
0.189,-0.19,0.08,-0.04,-0.21,-0.23,-0.22,
0.189,-0.19,0.08,-0.04,-0.20,-0.25,-0.22,
0.19,-0.19,0.08,-0.04,-0.20,-0.27,-0.21,
0.19,-0.19,0.08,-0.04,-0.20,-0.28,-0.21,
0.19,-0.19,0.08,-0.04,-0.19,-0.30,-0.20,
0.19,-0.30,0.11,-0.19,-0.19,-0.30,-0.20,
0.19,-0.30,0.11,-0.19,-0.19,-0.31,-0.20,
0.19,-0.30,0.11,-0.19,-0.18,-0.32,-0.20,
0.191,-0.30,0.11,-0.19,-0.17,-0.32,-0.20,
0.191,-0.30,0.11,-0.19,-0.17,-0.32,-0.20,
0.194,-0.30,0.11,-0.19,-0.17,-0.32,-0.19,
0.195,-0.31,0.15,-0.19,-0.17,-0.32,-0.19,
0.195,-0.31,0.15,-0.19,-0.16,-0.31,-0.19,
0.196,-0.31,0.15,-0.19,-0.16,-0.31,-0.19,
0.198,-0.31,0.15,-0.19,-0.16,-0.30,-0.19,
