
time,ax,ay,az,wx,wy,wz,
0.002,0.18,-0.43,0.21,-0.11,-0.25,-0.77,
0.003,0.18,-0.43,0.21,-0.12,-0.18,-0.78,
0.003,0.18,-0.43,0.21,-0.13,-0.11,-0.81,
0.003,0.18,-0.43,0.21,-0.14,-0.04,-0.83,
0.003,0.18,-0.43,0.21,-0.15,0.03,-0.86,
0.004,0.18,-0.43,0.21,-0.16,0.11,-0.89,
0.004,0.55,-0.55,-0.56,-0.16,0.11,-0.89,
0.005,0.55,-0.55,-0.56,-0.17,0.18,-0.92,
0.006,0.55,-0.55,-0.56,-0.18,0.25,-0.96,
0.008,0.55,-0.55,-0.56,-0.19,0.32,-0.99,
0.01,0.55,-0.55,-0.56,-0.20,0.39,-1.02,
0.022,0.55,-0.55,-0.56,-0.20,0.46,-1.06,
0.022,0.64,-0.60,-0.99,-0.20,0.46,-1.06,
0.022,0.64,-0.60,-0.99,-0.21,0.53,-1.10,
0.023,0.64,-0.60,-0.99,-0.21,0.61,-1.13,
0.023,0.64,-0.60,-0.99,-0.21,0.68,-1.16,
0.023,0.64,-0.60,-0.99,-0.22,0.75,-1.20,
0.023,0.64,-0.60,-0.99,-0.21,0.82,-1.23,
0.025,0.50,-0.45,-0.78,-0.21,0.82,-1.23,
0.025,0.50,-0.45,-0.78,-0.21,0.88,-1.26,
0.026,0.50,-0.45,-0.78,-0.20,0.94,-1.28,
0.029,0.50,-0.45,-0.78,-0.19,0.98,-1.30,
0.03,0.50,-0.45,-0.78,-0.18,1.01,-1.31,
0.032,0.50,-0.45,-0.78,-0.17,1.03,-1.32,
0.034,-0.18,-0.17,-0.13,-0.17,1.03,-1.32,
0.035,-0.18,-0.17,-0.13,-0.16,1.03,-1.33,
0.036,-0.18,-0.17,-0.13,-0.14,1.03,-1.33,
0.039,-0.18,-0.17,-0.13,-0.13,1.02,-1.33,
0.04,-0.18,-0.17,-0.13,-0.11,1.00,-1.32,
0.043,-0.18,-0.17,-0.13,-0.08,0.97,-1.31,
0.065,-1.09,-0.07,0.60,-0.08,0.97,-1.31,
0.066,-1.09,-0.07,0.60,-0.06,0.94,-1.30,
0.066,-1.09,-0.07,0.60,-0.03,0.91,-1.29,
0.066,-1.09,-0.07,0.60,-0.01,0.88,-1.28,
0.066,-1.09,-0.07,0.60,0.02,0.84,-1.26,
0.066,-1.09,-0.07,0.60,0.05,0.81,-1.25,
0.067,-1.81,-0.05,1.05,0.05,0.81,-1.25,
0.067,-1.81,-0.05,1.05,0.07,0.77,-1.23,
0.067,-1.81,-0.05,1.05,0.09,0.73,-1.22,
0.067,-1.81,-0.05,1.05,0.12,0.70,-1.19,
0.067,-1.81,-0.05,1.05,0.14,0.67,-1.18,
0.068,-1.81,-0.05,1.05,0.15,0.64,-1.16,
0.068,-2.10,-0.01,0.90,0.15,0.64,-1.16,
0.068,-2.10,-0.01,0.90,0.17,0.62,-1.14,
0.068,-2.10,-0.01,0.90,0.18,0.61,-1.13,
0.068,-2.10,-0.01,0.90,0.19,0.60,-1.11,
0.071,-2.10,-0.01,0.90,0.19,0.61,-1.10,
0.096,-2.10,-0.01,0.90,0.20,0.62,-1.09,
0.097,-2.04,0.04,0.23,0.20,0.62,-1.09,
0.097,-2.04,0.04,0.23,0.20,0.63,-1.08,
0.097,-2.04,0.04,0.23,0.20,0.65,-1.07,
0.097,-2.04,0.04,0.23,0.20,0.67,-1.07,
0.098,-2.04,0.04,0.23,0.19,0.68,-1.07,
0.098,-2.04,0.04,0.23,0.18,0.71,-1.07,
0.098,-1.48,0.11,-0.63,0.18,0.71,-1.07,
0.098,-1.48,0.11,-0.63,0.17,0.73,-1.07,
0.098,-1.48,0.11,-0.63,0.16,0.76,-1.07,
0.099,-1.48,0.11,-0.63,0.14,0.79,-1.08,
0.099,-1.48,0.11,-0.63,0.13,0.82,-1.08,
0.099,-1.48,0.11,-0.63,0.12,0.86,-1.09,
0.099,-0.90,0.19,-1.27,0.12,0.86,-1.09,
0.099,-0.90,0.19,-1.27,0.10,0.90,-1.10,
0.1,-0.90,0.19,-1.27,0.08,0.95,-1.11,
0.102,-0.90,0.19,-1.27,0.06,1.00,-1.11,
0.103,-0.90,0.19,-1.27,0.05,1.06,-1.12,
0.103,-0.90,0.19,-1.27,0.03,1.11,-1.12,
0.105,-0.85,0.32,-1.56,0.03,1.11,-1.12,
0.105,-0.85,0.32,-1.56,0.01,1.17,-1.12,
0.106,-0.85,0.32,-1.56,-0.01,1.23,-1.13,
0.117,-0.85,0.32,-1.56,-0.03,1.28,-1.13,
0.118,-0.85,0.32,-1.56,-0.06,1.33,-1.12,
0.118,-0.85,0.32,-1.56,-0.08,1.37,-1.12,
0.118,-1.07,0.41,-1.65,-0.08,1.37,-1.12,
0.119,-1.07,0.41,-1.65,-0.11,1.40,-1.12,
0.119,-1.07,0.41,-1.65,-0.13,1.43,-1.12,
0.119,-1.07,0.41,-1.65,-0.16,1.45,-1.11,
0.124,-1.07,0.41,-1.65,-0.18,1.47,-1.11,
0.125,-1.07,0.41,-1.65,-0.21,1.49,-1.11,
0.125,-1.22,0.25,-1.53,-0.21,1.49,-1.11,
0.126,-1.22,0.25,-1.53,-0.23,1.50,-1.11,
0.126,-1.22,0.25,-1.53,-0.25,1.51,-1.11,
0.128,-1.22,0.25,-1.53,-0.26,1.52,-1.10,
