
time,ax,ay,az,wx,wy,wz,
0.009,-0.98,-0.73,-0.38,-0.01,-0.06,-0.33,
0.009,-0.98,-0.73,-0.38,-0.03,-0.09,-0.29,
0.01,-0.98,-0.73,-0.38,-0.07,-0.15,-0.23,
0.01,-0.98,-0.73,-0.38,-0.09,-0.17,-0.20,
0.011,-0.98,-0.73,-0.38,-0.13,-0.21,-0.16,
0.011,-0.98,-0.73,-0.38,-0.18,-0.25,-0.11,
0.011,-1.39,-0.67,-1.92,-0.18,-0.25,-0.11,
0.011,-1.39,-0.67,-1.92,-0.23,-0.29,-0.07,
0.012,-1.39,-0.67,-1.92,-0.31,-0.33,-0.01,
0.012,-1.39,-0.67,-1.92,-0.34,-0.35,0.01,
0.013,-1.39,-0.67,-1.92,-0.40,-0.37,0.04,
0.013,-1.39,-0.67,-1.92,-0.46,-0.40,0.07,
0.018,-1.23,-0.35,-2.97,-0.46,-0.40,0.07,
0.02,-1.23,-0.35,-2.97,-0.51,-0.42,0.09,
0.024,-1.23,-0.35,-2.97,-0.58,-0.45,0.12,
0.025,-1.23,-0.35,-2.97,-0.60,-0.46,0.12,
0.025,-1.23,-0.35,-2.97,-0.63,-0.47,0.14,
0.026,-1.23,-0.35,-2.97,-0.66,-0.48,0.14,
0.026,-0.59,-0.13,-2.21,-0.66,-0.48,0.14,
0.027,-0.59,-0.13,-2.21,-0.68,-0.49,0.14,
0.028,-0.59,-0.13,-2.21,-0.69,-0.50,0.14,
0.028,-0.59,-0.13,-2.21,-0.69,-0.50,0.14,
0.033,-0.59,-0.13,-2.21,-0.68,-0.51,0.14,
0.034,-0.59,-0.13,-2.21,-0.67,-0.51,0.13,
0.034,0.00,-0.19,-0.65,-0.67,-0.51,0.13,
0.035,0.00,-0.19,-0.65,-0.65,-0.52,0.12,
0.037,0.00,-0.19,-0.65,-0.61,-0.52,0.10,
0.04,0.00,-0.19,-0.65,-0.60,-0.52,0.09,
0.042,0.00,-0.19,-0.65,-0.58,-0.53,0.08,
0.043,0.00,-0.19,-0.65,-0.55,-0.53,0.06,
0.046,0.39,-0.26,0.29,-0.55,-0.53,0.06,
0.047,0.39,-0.26,0.29,-0.52,-0.54,0.05,
0.047,0.39,-0.26,0.29,-0.48,-0.54,0.02,
