
time,ax,ay,az,wx,wy,wz,
0.004,-0.03,-0.37,-1.34,-0.64,0.24,-0.38,
0.004,-0.60,-0.04,-0.83,-0.64,0.24,-0.38,
0.005,-0.60,-0.04,-0.83,-0.68,0.25,-0.37,
0.005,-0.60,-0.04,-0.83,-0.72,0.25,-0.35,
0.005,-0.60,-0.04,-0.83,-0.76,0.26,-0.33,
0.006,-0.60,-0.04,-0.83,-0.78,0.26,-0.32,
0.006,-0.60,-0.04,-0.83,-0.79,0.26,-0.31,
0.01,-0.85,0.15,0.37,-0.79,0.26,-0.31,
0.01,-0.85,0.15,0.37,-0.80,0.26,-0.29,
0.01,-0.85,0.15,0.37,-0.80,0.26,-0.28,
0.012,-0.85,0.15,0.37,-0.80,0.25,-0.26,
0.013,-0.85,0.15,0.37,-0.79,0.26,-0.26,
0.015,-0.85,0.15,0.37,-0.79,0.26,-0.25,
0.017,-0.67,0.11,1.62,-0.79,0.26,-0.25,
0.017,-0.67,0.11,1.62,-0.77,0.27,-0.25,
0.019,-0.67,0.11,1.62,-0.76,0.29,-0.24,
0.022,-0.67,0.11,1.62,-0.74,0.33,-0.24,
0.025,-0.67,0.11,1.62,-0.74,0.35,-0.24,
0.025,-0.67,0.11,1.62,-0.73,0.38,-0.24,
0.027,-0.41,0.02,2.00,-0.73,0.38,-0.24,
0.028,-0.41,0.02,2.00,-0.73,0.42,-0.24,
0.029,-0.41,0.02,2.00,-0.73,0.47,-0.24,
0.032,-0.41,0.02,2.00,-0.74,0.54,-0.24,
0.033,-0.41,0.02,2.00,-0.74,0.56,-0.24,
0.035,-0.41,0.02,2.00,-0.75,0.61,-0.25,
0.037,-0.39,-0.12,1.55,-0.75,0.61,-0.25,
0.038,-0.39,-0.12,1.55,-0.77,0.66,-0.24,
0.058,-0.39,-0.12,1.55,-0.80,0.71,-0.24,
0.058,-0.39,-0.12,1.55,-0.84,0.80,-0.23,
0.058,-0.39,-0.12,1.55,-0.85,0.83,-0.23,
0.059,-0.39,-0.12,1.55,-0.89,0.89,-0.24,
0.059,-0.41,-0.06,0.96,-0.89,0.89,-0.24,
0.059,-0.41,-0.06,0.96,-0.92,0.93,-0.24,
0.06,-0.41,-0.06,0.96,-0.95,0.98,-0.24,
0.06,-0.41,-0.06,0.96,-1.00,1.04,-0.24,
0.06,-0.41,-0.06,0.96,-1.01,1.06,-0.24,
0.061,-0.41,-0.06,0.96,-1.03,1.10,-0.24,
0.061,-0.53,0.16,1.05,-1.03,1.10,-0.24,
0.061,-0.53,0.16,1.05,-1.05,1.13,-0.24,
0.061,-0.53,0.16,1.05,-1.07,1.16,-0.24,
0.064,-0.53,0.16,1.05,-1.10,1.20,-0.24,
0.064,-0.53,0.16,1.05,-1.11,1.21,-0.24,
0.099,-0.53,0.16,1.05,-1.12,1.25,-0.25,
0.1,-0.42,0.26,1.29,-1.12,1.25,-0.25,
0.101,-0.42,0.26,1.29,-1.14,1.28,-0.25,
0.101,-0.42,0.26,1.29,-1.15,1.32,-0.26,
0.101,-0.42,0.26,1.29,-1.18,1.37,-0.28,
0.102,-0.42,0.26,1.29,-1.19,1.39,-0.29,
0.102,-0.42,0.26,1.29,-1.21,1.44,-0.31,
0.102,0.17,0.19,1.02,-1.21,1.44,-0.31,
0.103,0.17,0.19,1.02,-1.24,1.48,-0.33,
0.118,0.17,0.19,1.02,-1.28,1.52,-0.36,
0.118,0.17,0.19,1.02,-1.35,1.59,-0.40,
0.119,0.17,0.19,1.02,-1.38,1.61,-0.42,
0.119,0.17,0.19,1.02,-1.44,1.65,-0.46,
0.12,0.97,0.05,-0.21,-1.44,1.65,-0.46,
0.12,0.97,0.05,-0.21,-1.52,1.69,-0.50,
0.121,0.97,0.05,-0.21,-1.59,1.73,-0.54,
0.121,0.97,0.05,-0.21,-1.72,1.78,-0.60,
0.122,0.97,0.05,-0.21,-1.77,1.80,-0.62,
0.122,0.97,0.05,-0.21,-1.86,1.84,-0.66,
0.122,1.65,-0.09,-1.70,-1.86,1.84,-0.66,
0.123,1.65,-0.09,-1.70,-1.96,1.88,-0.71,
0.123,1.65,-0.09,-1.70,-2.07,1.92,-0.75,
0.124,1.65,-0.09,-1.70,-2.24,1.98,-0.81,
0.124,1.65,-0.09,-1.70,-2.29,2.00,-0.83,
0.125,1.65,-0.09,-1.70,-2.41,2.05,-0.86,
0.125,1.79,-0.19,-3.00,-2.41,2.05,-0.86,
0.126,1.79,-0.19,-3.00,-2.53,2.10,-0.89,
0.126,1.79,-0.19,-3.00,-2.65,2.15,-0.92,
0.126,1.79,-0.19,-3.00,-2.82,2.21,-0.95,
0.127,1.79,-0.19,-3.00,-2.87,2.23,-0.95,
0.127,1.79,-0.19,-3.00,-2.98,2.28,-0.96,
0.128,1.04,0.03,-3.45,-2.98,2.28,-0.96,
0.128,1.04,0.03,-3.45,-3.08,2.31,-0.95,
0.129,1.04,0.03,-3.45,-3.17,2.33,-0.94,
0.129,1.04,0.03,-3.45,-3.27,2.36,-0.91,
0.13,1.04,0.03,-3.45,-3.30,2.36,-0.89,
0.13,1.04,0.03,-3.45,-3.35,2.36,-0.86,
0.13,-0.43,0.36,-2.05,-3.35,2.36,-0.86,
0.131,-0.43,0.36,-2.05,-3.39,2.34,-0.82,
0.131,-0.43,0.36,-2.05,-3.41,2.32,-0.77,
0.146,-0.43,0.36,-2.05,-3.42,2.26,-0.70,
0.147,-0.43,0.36,-2.05,-3.42,2.24,-0.68,
0.147,-0.43,0.36,-2.05,-3.40,2.19,-0.63,
0.148,-1.44,0.44,-0.09,-3.40,2.19,-0.63,
0.148,-1.44,0.44,-0.09,-3.38,2.13,-0.58,
0.149,-1.44,0.44,-0.09,-3.34,2.06,-0.53,
0.149,-1.44,0.44,-0.09,-3.27,1.95,-0.46,
0.15,-1.44,0.44,-0.09,-3.24,1.91,-0.43,
0.15,-1.44,0.44,-0.09,-3.18,1.82,-0.38,
0.151,-1.44,-0.14,1.33,-3.18,1.82,-0.38,
0.151,-1.44,-0.14,1.33,-3.12,1.72,-0.33,
0.151,-1.44,-0.14,1.33,-3.06,1.62,-0.29,
0.159,-1.44,-0.14,1.33,-2.96,1.48,-0.22,
