
time,ax,ay,az,wx,wy,wz,
0.004,0.76,-0.45,0.84,0.26,-1.50,-1.20,
0.004,0.76,-0.45,0.84,0.26,-1.51,-1.20,
0.005,0.64,-0.52,0.81,0.26,-1.51,-1.20,
0.005,0.64,-0.52,0.81,0.26,-1.52,-1.21,
0.005,0.64,-0.52,0.81,0.27,-1.52,-1.22,
0.006,0.64,-0.52,0.81,0.27,-1.52,-1.23,
0.006,0.64,-0.52,0.81,0.27,-1.52,-1.24,
0.019,0.64,-0.52,0.81,0.27,-1.51,-1.26,
0.019,0.78,-0.61,0.85,0.27,-1.51,-1.26,
0.019,0.78,-0.61,0.85,0.27,-1.51,-1.26,
0.02,0.78,-0.61,0.85,0.26,-1.50,-1.27,
0.02,0.78,-0.61,0.85,0.26,-1.50,-1.28,
0.02,0.78,-0.61,0.85,0.25,-1.50,-1.29,
0.021,0.78,-0.61,0.85,0.24,-1.50,-1.29,
0.021,0.58,-0.70,0.82,0.24,-1.50,-1.29,
0.021,0.58,-0.70,0.82,0.24,-1.49,-1.29,
0.024,0.58,-0.70,0.82,0.23,-1.49,-1.29,
0.024,0.58,-0.70,0.82,0.22,-1.49,-1.29,
0.028,0.58,-0.70,0.82,0.21,-1.48,-1.28,
0.029,0.58,-0.70,0.82,0.20,-1.48,-1.28,
0.031,0.35,-0.79,0.87,0.20,-1.48,-1.28,
0.031,0.35,-0.79,0.87,0.19,-1.47,-1.27,
0.032,0.35,-0.79,0.87,0.17,-1.46,-1.26,
0.034,0.35,-0.79,0.87,0.15,-1.45,-1.25,
0.045,0.35,-0.79,0.87,0.14,-1.44,-1.23,
0.046,0.35,-0.79,0.87,0.12,-1.43,-1.22,
0.046,0.18,-0.77,0.89,0.12,-1.43,-1.22,
0.046,0.18,-0.77,0.89,0.10,-1.43,-1.21,
0.047,0.18,-0.77,0.89,0.08,-1.42,-1.19,
0.047,0.18,-0.77,0.89,0.06,-1.41,-1.18,
0.047,0.18,-0.77,0.89,0.04,-1.41,-1.17,
0.048,0.18,-0.77,0.89,0.01,-1.41,-1.15,
0.052,0.11,-0.60,0.91,0.01,-1.41,-1.15,
0.053,0.11,-0.60,0.91,-0.01,-1.41,-1.14,
0.064,0.11,-0.60,0.91,-0.03,-1.41,-1.12,
0.07,0.11,-0.60,0.91,-0.04,-1.41,-1.11,
0.07,0.11,-0.60,0.91,-0.06,-1.41,-1.09,
0.07,0.11,-0.60,0.91,-0.07,-1.41,-1.07,
0.071,0.01,-0.47,1.36,-0.07,-1.41,-1.07,
0.071,0.01,-0.47,1.36,-0.08,-1.41,-1.06,
0.071,0.01,-0.47,1.36,-0.09,-1.41,-1.04,
0.072,0.01,-0.47,1.36,-0.10,-1.42,-1.03,
0.072,0.01,-0.47,1.36,-0.10,-1.42,-1.01,
0.072,0.01,-0.47,1.36,-0.11,-1.43,-0.99,
0.072,-0.02,-0.54,1.75,-0.11,-1.43,-0.99,
0.073,-0.02,-0.54,1.75,-0.11,-1.43,-0.98,
0.073,-0.02,-0.54,1.75,-0.11,-1.44,-0.96,
0.077,-0.02,-0.54,1.75,-0.11,-1.43,-0.94,
0.077,-0.02,-0.54,1.75,-0.10,-1.41,-0.92,
0.096,-0.02,-0.54,1.75,-0.10,-1.38,-0.90,
0.097,0.01,-0.60,2.04,-0.10,-1.38,-0.90,
0.098,0.01,-0.60,2.04,-0.09,-1.34,-0.87,
0.098,0.01,-0.60,2.04,-0.08,-1.29,-0.85,
0.098,0.01,-0.60,2.04,-0.07,-1.23,-0.82,
0.099,0.01,-0.60,2.04,-0.06,-1.17,-0.79,
0.099,0.01,-0.60,2.04,-0.05,-1.10,-0.76,
0.099,0.17,-0.87,2.12,-0.05,-1.10,-0.76,
0.099,0.17,-0.87,2.12,-0.04,-1.03,-0.74,
0.1,0.17,-0.87,2.12,-0.03,-0.96,-0.71,
0.1,0.17,-0.87,2.12,-0.01,-0.89,-0.68,
0.111,0.17,-0.87,2.12,0.01,-0.83,-0.65,
0.112,0.17,-0.87,2.12,0.02,-0.78,-0.63,
0.112,0.35,-1.12,2.06,0.02,-0.78,-0.63,
0.112,0.35,-1.12,2.06,0.04,-0.73,-0.60,
0.113,0.35,-1.12,2.06,0.06,-0.68,-0.58,
0.113,0.35,-1.12,2.06,0.09,-0.63,-0.57,
0.113,0.35,-1.12,2.06,0.11,-0.59,-0.56,
0.114,0.35,-1.12,2.06,0.14,-0.54,-0.56,
0.114,0.59,-1.22,2.04,0.14,-0.54,-0.56,
0.114,0.59,-1.22,2.04,0.17,-0.50,-0.57,
0.115,0.59,-1.22,2.04,0.20,-0.45,-0.58,
0.115,0.59,-1.22,2.04,0.24,-0.42,-0.60,
0.119,0.59,-1.22,2.04,0.28,-0.39,-0.62,
0.119,0.59,-1.22,2.04,0.32,-0.35,-0.65,
0.122,0.67,-0.91,1.87,0.32,-0.35,-0.65,
0.122,0.67,-0.91,1.87,0.36,-0.32,-0.69,
0.123,0.67,-0.91,1.87,0.41,-0.28,-0.73,
0.124,0.67,-0.91,1.87,0.45,-0.25,-0.78,
0.127,0.67,-0.91,1.87,0.50,-0.22,-0.83,
0.128,0.67,-0.91,1.87,0.54,-0.20,-0.87,
0.131,0.81,-0.50,1.73,0.54,-0.20,-0.87,
0.131,0.81,-0.50,1.73,0.59,-0.18,-0.92,
0.132,0.81,-0.50,1.73,0.64,-0.16,-0.96,
0.134,0.81,-0.50,1.73,0.69,-0.15,-1.00,
0.137,0.81,-0.50,1.73,0.74,-0.15,-1.04,
0.141,0.81,-0.50,1.73,0.80,-0.16,-1.08,
0.141,0.79,-0.18,1.88,0.80,-0.16,-1.08,
0.142,0.79,-0.18,1.88,0.85,-0.16,-1.11,
0.142,0.79,-0.18,1.88,0.90,-0.16,-1.15,
0.144,0.79,-0.18,1.88,0.95,-0.18,-1.18,
0.146,0.79,-0.18,1.88,0.99,-0.20,-1.21,
0.148,0.79,-0.18,1.88,1.03,-0.23,-1.25,
0.153,0.99,-0.10,1.59,1.03,-0.23,-1.25,
0.154,0.99,-0.10,1.59,1.08,-0.29,-1.30,
0.154,0.99,-0.10,1.59,1.09,-0.31,-1.32,
0.156,0.99,-0.10,1.59,1.12,-0.36,-1.36,
0.156,0.99,-0.10,1.59,1.14,-0.41,-1.41,
0.159,0.99,-0.10,1.59,1.16,-0.48,-1.45,
0.161,1.11,-0.03,0.97,1.16,-0.48,-1.45,
0.161,1.11,-0.03,0.97,1.18,-0.55,-1.50,
0.162,1.11,-0.03,0.97,1.19,-0.62,-1.54,
0.166,1.11,-0.03,0.97,1.20,-0.70,-1.59,
0.17,1.11,-0.03,0.97,1.20,-0.78,-1.64,
0.171,1.11,-0.03,0.97,1.19,-0.87,-1.69,
0.171,1.20,-0.00,0.01,1.19,-0.87,-1.69,
0.171,1.20,-0.00,0.01,1.18,-0.95,-1.74,
0.173,1.20,-0.00,0.01,1.16,-1.04,-1.80,
0.175,1.20,-0.00,0.01,1.15,-1.12,-1.85,
0.176,1.20,-0.00,0.01,1.12,-1.20,-1.90,
0.179,1.20,-0.00,0.01,1.09,-1.26,-1.96,
0.181,0.96,-0.01,-0.84,1.09,-1.26,-1.96,
0.181,0.96,-0.01,-0.84,1.06,-1.32,-2.01,
0.182,0.96,-0.01,-0.84,1.03,-1.37,-2.05,
0.184,0.96,-0.01,-0.84,0.99,-1.42,-2.10,
0.187,0.96,-0.01,-0.84,0.95,-1.46,-2.14,
0.188,0.96,-0.01,-0.84,0.90,-1.50,-2.17,
0.193,0.50,-0.17,-1.42,0.90,-1.50,-2.17,
0.193,0.50,-0.17,-1.42,0.85,-1.54,-2.20,
0.193,0.50,-0.17,-1.42,0.80,-1.58,-2.23,
0.195,0.50,-0.17,-1.42,0.75,-1.63,-2.26,
0.196,0.50,-0.17,-1.42,0.69,-1.67,-2.28,
0.198,0.50,-0.17,-1.42,0.63,-1.70,-2.30,
0.222,-0.04,-0.49,-1.74,0.63,-1.70,-2.30,
