
time,ax,ay,az,wx,wy,wz,
0.003,0.73,0.51,-1.39,-0.29,-1.50,-0.55,
0.004,0.73,0.51,-1.39,-0.33,-1.52,-0.56,
0.004,0.73,0.51,-1.39,-0.37,-1.53,-0.56,
0.004,0.73,0.51,-1.39,-0.44,-1.57,-0.57,
0.005,0.73,0.51,-1.39,-0.47,-1.59,-0.57,
0.005,0.73,0.51,-1.39,-0.51,-1.64,-0.58,
0.005,0.89,0.40,-1.86,-0.51,-1.64,-0.58,
0.006,0.89,0.40,-1.86,-0.56,-1.69,-0.58,
0.006,0.89,0.40,-1.86,-0.61,-1.73,-0.58,
0.006,0.89,0.40,-1.86,-0.66,-1.76,-0.58,
0.01,0.89,0.40,-1.86,-0.70,-1.79,-0.58,
0.01,0.89,0.40,-1.86,-0.75,-1.82,-0.58,
0.011,0.27,0.30,-2.36,-0.75,-1.82,-0.58,
0.011,0.27,0.30,-2.36,-0.79,-1.84,-0.58,
0.016,0.27,0.30,-2.36,-0.84,-1.85,-0.57,
0.017,0.27,0.30,-2.36,-0.89,-1.86,-0.55,
0.018,0.27,0.30,-2.36,-0.93,-1.87,-0.54,
0.021,0.27,0.30,-2.36,-0.97,-1.87,-0.53,
0.022,-0.44,0.46,-2.65,-0.97,-1.87,-0.53,
0.022,-0.44,0.46,-2.65,-1.02,-1.87,-0.52,
0.025,-0.44,0.46,-2.65,-1.06,-1.86,-0.51,
0.026,-0.44,0.46,-2.65,-1.10,-1.86,-0.50,
0.027,-0.44,0.46,-2.65,-1.14,-1.86,-0.48,
0.029,-0.44,0.46,-2.65,-1.18,-1.87,-0.48,
0.032,-0.44,0.38,-2.51,-1.18,-1.87,-0.48,
0.032,-0.44,0.38,-2.51,-1.22,-1.90,-0.46,
0.034,-0.44,0.38,-2.51,-1.25,-1.91,-0.45,
0.036,-0.44,0.38,-2.51,-1.27,-1.94,-0.44,
0.038,-0.44,0.38,-2.51,-1.30,-1.97,-0.43,
0.039,-0.44,0.38,-2.51,-1.32,-2.00,-0.41,
0.041,-0.29,-0.01,-1.91,-1.32,-2.00,-0.41,
0.042,-0.29,-0.01,-1.91,-1.34,-2.03,-0.40,
0.043,-0.29,-0.01,-1.91,-1.35,-2.05,-0.38,
0.049,-0.29,-0.01,-1.91,-1.35,-2.08,-0.36,
0.05,-0.29,-0.01,-1.91,-1.35,-2.08,-0.35,
0.05,-0.29,-0.01,-1.91,-1.35,-2.11,-0.34,
0.052,0.13,-0.43,-0.63,-1.35,-2.11,-0.34,
0.052,0.13,-0.43,-0.63,-1.34,-2.14,-0.33,
0.055,0.13,-0.43,-0.63,-1.32,-2.18,-0.32,
0.057,0.13,-0.43,-0.63,-1.31,-2.23,-0.30,
0.06,0.13,-0.43,-0.63,-1.28,-2.34,-0.29,
0.06,0.13,-0.43,-0.63,-1.27,-2.38,-0.28,
0.062,0.68,-0.55,0.93,-1.27,-2.38,-0.28,
0.062,0.68,-0.55,0.93,-1.25,-2.46,-0.27,
0.069,0.68,-0.55,0.93,-1.22,-2.55,-0.26,
0.069,0.68,-0.55,0.93,-1.20,-2.64,-0.25,
0.07,0.68,-0.55,0.93,-1.18,-2.72,-0.24,
0.07,0.68,-0.55,0.93,-1.16,-2.81,-0.23,
0.072,0.80,-0.56,1.19,-1.16,-2.81,-0.23,
0.074,0.80,-0.56,1.19,-1.14,-2.89,-0.23,
0.075,0.80,-0.56,1.19,-1.12,-2.97,-0.23,
0.076,0.80,-0.56,1.19,-1.10,-3.04,-0.22,
0.078,0.80,-0.56,1.19,-1.10,-3.11,-0.22,
0.079,0.80,-0.56,1.19,-1.09,-3.17,-0.22,
0.084,0.46,-0.50,0.26,-1.09,-3.17,-0.22,
0.084,0.46,-0.50,0.26,-1.09,-3.21,-0.23,
0.084,0.46,-0.50,0.26,-1.09,-3.21,-0.23,
0.088,0.46,-0.50,0.26,-1.06,-3.13,-0.23,
0.088,0.46,-0.50,0.26,-1.04,-3.08,-0.24,
0.089,0.46,-0.50,0.26,-0.98,-2.94,-0.25,
0.091,0.56,-0.14,1.17,-0.98,-2.94,-0.25,
0.1,0.56,-0.14,1.17,-0.91,-2.76,-0.26,
0.1,0.56,-0.14,1.17,-0.81,-2.55,-0.28,
0.1,0.56,-0.14,1.17,-0.71,-2.34,-0.30,
0.1,0.56,-0.14,1.17,-0.61,-2.17,-0.31,
0.101,0.56,-0.14,1.17,-0.52,-2.05,-0.31,
0.117,0.45,0.19,3.65,-0.52,-2.05,-0.31,
0.117,0.45,0.19,3.65,-0.45,-1.95,-0.31,
0.117,0.45,0.19,3.65,-0.38,-1.87,-0.31,
0.117,0.45,0.19,3.65,-0.32,-1.81,-0.31,
0.118,0.45,0.19,3.65,-0.27,-1.75,-0.31,
0.118,0.45,0.19,3.65,-0.21,-1.69,-0.32,
0.118,-0.07,0.35,3.23,-0.21,-1.69,-0.32,
0.118,-0.07,0.35,3.23,-0.16,-1.65,-0.33,
0.118,-0.07,0.35,3.23,-0.12,-1.63,-0.33,
0.118,-0.07,0.35,3.23,-0.08,-1.64,-0.35,
0.119,-0.07,0.35,3.23,-0.04,-1.66,-0.37,
0.171,-0.07,0.35,3.23,-0.00,-1.70,-0.39,
0.172,-0.07,-0.12,3.05,-0.00,-1.70,-0.39,
0.172,-0.07,-0.12,3.05,0.02,-1.72,-0.41,
0.172,-0.07,-0.12,3.05,0.05,-1.74,-0.44,
0.173,-0.07,-0.12,3.05,0.07,-1.75,-0.47,
0.173,-0.07,-0.12,3.05,0.07,-1.76,-0.49,
0.173,-0.07,-0.12,3.05,0.08,-1.77,-0.52,
0.173,-0.58,-0.50,0.86,0.08,-1.77,-0.52,
0.174,-0.58,-0.50,0.86,0.07,-1.78,-0.55,
0.174,-0.58,-0.50,0.86,0.05,-1.80,-0.57,
0.174,-0.58,-0.50,0.86,0.03,-1.84,-0.60,
0.174,-0.58,-0.50,0.86,0.01,-1.86,-0.60,
0.174,-0.58,-0.50,0.86,-0.01,-1.89,-0.61,
0.174,-1.37,-0.58,-0.96,-0.01,-1.89,-0.61,
0.175,-1.37,-0.58,-0.96,-0.04,-1.93,-0.61,
0.175,-1.37,-0.58,-0.96,-0.07,-1.97,-0.61,
0.175,-1.37,-0.58,-0.96,-0.12,-2.03,-0.60,
0.175,-1.37,-0.58,-0.96,-0.14,-2.06,-0.59,
0.175,-1.37,-0.58,-0.96,-0.18,-2.11,-0.58,
0.176,-1.77,-0.68,-1.37,-0.18,-2.11,-0.58,
0.176,-1.77,-0.68,-1.37,-0.21,-2.15,-0.57,
0.176,-1.77,-0.68,-1.37,-0.23,-2.18,-0.55,
0.176,-1.77,-0.68,-1.37,-0.26,-2.16,-0.54,
0.176,-1.77,-0.68,-1.37,-0.26,-2.13,-0.53,
0.177,-1.77,-0.68,-1.37,-0.25,-2.07,-0.51,
0.177,-1.36,-0.50,0.59,-0.25,-2.07,-0.51,
0.177,-1.36,-0.50,0.59,-0.23,-1.98,-0.50,
0.177,-1.36,-0.50,0.59,-0.21,-1.87,-0.48,
0.177,-1.36,-0.50,0.59,-0.15,-1.72,-0.45,
0.177,-1.36,-0.50,0.59,-0.13,-1.67,-0.44,
0.178,-1.36,-0.50,0.59,-0.09,-1.59,-0.42,
0.178,-1.14,-0.26,2.71,-0.09,-1.59,-0.42,
0.178,-1.14,-0.26,2.71,-0.05,-1.53,-0.39,
0.178,-1.14,-0.26,2.71,-0.00,-1.48,-0.37,
0.178,-1.14,-0.26,2.71,0.06,-1.43,-0.34,
0.179,-1.14,-0.26,2.71,0.08,-1.42,-0.33,
0.181,-1.14,-0.26,2.71,0.12,-1.40,-0.31,
0.181,-1.13,-0.25,3.20,0.12,-1.40,-0.31,
0.182,-1.13,-0.25,3.20,0.16,-1.39,-0.29,
0.185,-1.13,-0.25,3.20,0.20,-1.37,-0.28,
0.186,-1.13,-0.25,3.20,0.25,-1.36,-0.27,
0.187,-1.13,-0.25,3.20,0.26,-1.35,-0.27,
0.189,-1.13,-0.25,3.20,0.29,-1.34,-0.26,
0.191,-0.98,-0.38,2.38,0.29,-1.34,-0.26,
0.192,-0.98,-0.38,2.38,0.32,-1.33,-0.26,
0.193,-0.98,-0.38,2.38,0.35,-1.32,-0.26,
0.196,-0.98,-0.38,2.38,0.38,-1.32,-0.27,
0.197,-0.98,-0.38,2.38,0.39,-1.32,-0.27,
0.2,-0.98,-0.38,2.38,0.40,-1.32,-0.28,
0.201,-0.58,-0.60,1.27,0.40,-1.32,-0.28,
0.201,-0.58,-0.60,1.27,0.41,-1.31,-0.29,
0.203,-0.58,-0.60,1.27,0.41,-1.31,-0.30,
0.206,-0.58,-0.60,1.27,0.41,-1.30,-0.32,
0.207,-0.58,-0.60,1.27,0.40,-1.29,-0.32,
0.209,-0.58,-0.60,1.27,0.39,-1.27,-0.33,
0.23,0.12,-0.51,0.37,0.39,-1.27,-0.33,
0.233,0.12,-0.51,0.37,0.38,-1.25,-0.34,
0.234,0.12,-0.51,0.37,0.36,-1.22,-0.35,
0.235,0.12,-0.51,0.37,0.32,-1.17,-0.36,
