
time,ax,ay,az,wx,wy,wz,
0.004,-0.39,-1.19,-1.18,-0.51,0.19,1.13,
0.004,-0.39,-1.19,-1.18,-0.54,0.20,1.16,
0.004,-0.39,-1.19,-1.18,-0.57,0.21,1.20,
0.004,-0.39,-1.19,-1.18,-0.62,0.22,1.25,
0.005,-0.39,-1.19,-1.18,-0.63,0.22,1.26,
0.005,-0.39,-1.19,-1.18,-0.66,0.22,1.29,
0.006,-0.17,-1.10,-1.08,-0.66,0.22,1.29,
0.007,-0.17,-1.10,-1.08,-0.68,0.21,1.31,
0.008,-0.17,-1.10,-1.08,-0.70,0.21,1.33,
0.011,-0.17,-1.10,-1.08,-0.73,0.19,1.35,
0.016,-0.17,-1.10,-1.08,-0.74,0.19,1.35,
0.017,-0.17,-1.10,-1.08,-0.75,0.17,1.36,
0.017,0.29,-0.72,-0.88,-0.75,0.17,1.36,
0.017,0.29,-0.72,-0.88,-0.76,0.15,1.36,
0.018,0.29,-0.72,-0.88,-0.77,0.13,1.36,
0.021,0.29,-0.72,-0.88,-0.78,0.11,1.36,
0.023,0.29,-0.72,-0.88,-0.79,0.10,1.36,
0.024,0.29,-0.72,-0.88,-0.79,0.09,1.36,
0.028,0.90,-0.37,-0.66,-0.79,0.09,1.36,
0.028,0.90,-0.37,-0.66,-0.79,0.08,1.35,
0.029,0.90,-0.37,-0.66,-0.80,0.08,1.34,
0.032,0.90,-0.37,-0.66,-0.80,0.06,1.32,
0.033,0.90,-0.37,-0.66,-0.81,0.06,1.31,
0.035,0.90,-0.37,-0.66,-0.81,0.06,1.30,
0.04,1.49,-0.34,-0.40,-0.81,0.06,1.30,
0.04,1.49,-0.34,-0.40,-0.81,0.05,1.28,
0.041,1.49,-0.34,-0.40,-0.81,0.05,1.26,
0.041,1.49,-0.34,-0.40,-0.80,0.04,1.23,
0.041,1.49,-0.34,-0.40,-0.80,0.04,1.22,
0.054,1.49,-0.34,-0.40,-0.80,0.04,1.19,
0.055,1.97,-0.43,-0.19,-0.80,0.04,1.19,
0.055,1.97,-0.43,-0.19,-0.80,0.03,1.17,
0.055,1.97,-0.43,-0.19,-0.80,0.03,1.15,
0.056,1.97,-0.43,-0.19,-0.80,0.02,1.11,
0.056,1.97,-0.43,-0.19,-0.80,0.02,1.10,
0.06,1.97,-0.43,-0.19,-0.79,0.02,1.08,
0.06,2.03,-0.49,-0.06,-0.79,0.02,1.08,
0.061,2.03,-0.49,-0.06,-0.79,0.02,1.06,
0.061,2.03,-0.49,-0.06,-0.79,0.01,1.04,
0.061,2.03,-0.49,-0.06,-0.79,0.01,1.02,
0.062,2.03,-0.49,-0.06,-0.79,0.01,1.01,
0.063,2.03,-0.49,-0.06,-0.79,0.00,0.99,
0.069,1.85,-0.48,0.16,-0.79,0.00,0.99,
0.072,1.85,-0.48,0.16,-0.79,0.01,0.97,
0.073,1.85,-0.48,0.16,-0.79,0.01,0.96,
0.087,1.85,-0.48,0.16,-0.78,0.03,0.95,
0.088,1.85,-0.48,0.16,-0.78,0.04,0.94,
0.088,1.85,-0.48,0.16,-0.77,0.07,0.93,
0.088,1.56,-0.32,0.43,-0.77,0.07,0.93,
0.088,1.56,-0.32,0.43,-0.76,0.09,0.92,
0.089,1.56,-0.32,0.43,-0.76,0.11,0.92,
0.089,1.56,-0.32,0.43,-0.74,0.14,0.91,
0.089,1.56,-0.32,0.43,-0.74,0.15,0.91,
0.09,1.56,-0.32,0.43,-0.72,0.18,0.90,
0.09,1.43,-0.31,0.95,-0.72,0.18,0.90,
0.09,1.43,-0.31,0.95,-0.71,0.20,0.90,
0.09,1.43,-0.31,0.95,-0.69,0.22,0.89,
0.091,1.43,-0.31,0.95,-0.66,0.24,0.89,
0.091,1.43,-0.31,0.95,-0.65,0.25,0.88,
0.094,1.43,-0.31,0.95,-0.62,0.27,0.87,
0.096,1.30,-0.30,1.31,-0.62,0.27,0.87,
0.097,1.30,-0.30,1.31,-0.60,0.29,0.87,
0.098,1.30,-0.30,1.31,-0.57,0.30,0.86,
0.1,1.30,-0.30,1.31,-0.54,0.32,0.84,
0.101,1.30,-0.30,1.31,-0.52,0.33,0.84,
0.103,1.30,-0.30,1.31,-0.50,0.35,0.83,
0.105,1.32,-0.29,1.50,-0.50,0.35,0.83,
0.106,1.32,-0.29,1.50,-0.48,0.36,0.82,
0.107,1.32,-0.29,1.50,-0.45,0.36,0.81,
0.11,1.32,-0.29,1.50,-0.42,0.37,0.80,
0.112,1.32,-0.29,1.50,-0.41,0.38,0.79,
0.113,1.32,-0.29,1.50,-0.39,0.38,0.79,
0.117,1.31,-0.25,1.47,-0.39,0.38,0.79,
