
time,ax,ay,az,wx,wy,wz,
0.003,-1.49,0.06,-1.86,-0.29,0.22,0.19,
0.003,-1.54,0.06,-2.18,-0.29,0.22,0.19,
0.004,-1.54,0.06,-2.18,-0.32,0.24,0.20,
0.004,-1.54,0.06,-2.18,-0.36,0.28,0.21,
0.004,-1.54,0.06,-2.18,-0.37,0.29,0.21,
0.004,-1.54,0.06,-2.18,-0.40,0.32,0.22,
0.006,-1.54,0.06,-2.18,-0.42,0.35,0.22,
0.007,-1.66,0.34,-2.25,-0.42,0.35,0.22,
0.007,-1.66,0.34,-2.25,-0.44,0.38,0.23,
0.012,-1.66,0.34,-2.25,-0.46,0.41,0.24,
0.012,-1.66,0.34,-2.25,-0.47,0.43,0.24,
0.014,-1.66,0.34,-2.25,-0.48,0.45,0.25,
0.016,-1.66,0.34,-2.25,-0.49,0.47,0.25,
0.018,-1.61,0.37,-1.90,-0.49,0.47,0.25,
0.018,-1.61,0.37,-1.90,-0.50,0.49,0.26,
0.02,-1.61,0.37,-1.90,-0.52,0.51,0.25,
0.022,-1.61,0.37,-1.90,-0.54,0.51,0.25,
0.023,-1.61,0.37,-1.90,-0.56,0.52,0.23,
0.026,-1.61,0.37,-1.90,-0.58,0.51,0.21,
0.028,-1.26,0.36,-1.95,-0.58,0.51,0.21,
0.028,-1.26,0.36,-1.95,-0.61,0.50,0.19,
0.03,-1.26,0.36,-1.95,-0.67,0.47,0.15,
0.033,-1.26,0.36,-1.95,-0.69,0.46,0.14,
0.034,-1.26,0.36,-1.95,-0.74,0.43,0.11,
0.036,-1.26,0.36,-1.95,-0.79,0.40,0.08,
0.038,-0.73,0.34,-2.70,-0.79,0.40,0.08,
0.039,-0.73,0.34,-2.70,-0.85,0.36,0.05,
0.04,-0.73,0.34,-2.70,-0.96,0.29,0.01,
0.041,-0.73,0.34,-2.70,-0.99,0.26,-0.01,
0.046,-0.73,0.34,-2.70,-1.07,0.22,-0.03,
0.054,-0.73,0.34,-2.70,-1.14,0.19,-0.05,
0.055,-0.58,0.13,-3.72,-1.14,0.19,-0.05,
0.055,-0.58,0.13,-3.72,-1.21,0.18,-0.07,
0.056,-0.58,0.13,-3.72,-1.31,0.17,-0.10,
0.056,-0.58,0.13,-3.72,-1.35,0.18,-0.10,
0.056,-0.58,0.13,-3.72,-1.41,0.19,-0.12,
0.056,-0.58,0.13,-3.72,-1.47,0.20,-0.13,
0.06,-0.66,-0.51,-3.18,-1.47,0.20,-0.13,
0.06,-0.66,-0.51,-3.18,-1.52,0.22,-0.14,
0.061,-0.66,-0.51,-3.18,-1.59,0.25,-0.14,
